person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
26.0,0,3,40692.0,8,3,10000.0,4,11.71,0.25,3.0,618,1,0
22.0,1,1,66041.0,0,3,12000.0,5,8.49,0.18,4.0,609,1,0
26.0,1,1,24297.0,3,0,4000.0,5,7.51,0.16,4.0,678,0,1
27.0,1,1,75972.0,4,3,12000.0,3,12.42,0.16,6.0,636,1,0
24.0,0,1,54942.0,3,3,17000.0,1,14.96,0.31,2.0,700,0,1
31.0,1,3,38457.0,1,3,4801.0,0,14.16,0.12,9.0,594,0,1
23.0,0,3,57332.0,1,3,6800.0,2,10.65,0.12,2.0,535,0,1
27.0,1,3,21275.0,3,3,1000.0,5,7.29,0.05,5.0,673,1,0
23.0,0,1,47769.0,2,0,10000.0,1,7.51,0.21,2.0,692,0,0
33.0,0,3,91174.0,13,2,17000.0,2,6.54,0.19,5.0,660,0,0
24.0,1,1,72060.0,5,3,6000.0,0,7.9,0.08,3.0,677,0,0
26.0,1,0,86546.0,3,3,2351.0,3,16.74,0.03,4.0,672,0,1
27.0,0,0,46635.0,4,3,15000.0,1,12.73,0.32,10.0,669,0,1
24.0,0,0,39456.0,1,3,10000.0,5,8.06,0.25,3.0,539,0,1
34.0,1,1,73220.0,11,0,10174.0,4,11.04,0.14,6.0,597,1,0
32.0,1,4,21115.0,8,3,2500.0,1,7.51,0.12,10.0,562,1,0
23.0,0,4,24200.0,0,3,6250.0,2,16.82,0.26,2.0,616,0,1
23.0,1,3,43280.0,1,3,8000.0,0,18.56,0.18,4.0,670,0,1
24.0,1,4,88506.0,3,3,11400.0,0,14.84,0.13,4.0,577,0,1
27.0,1,0,53629.0,6,3,13650.0,1,10.65,0.25,7.0,550,0,1
39.0,0,3,37202.0,14,2,5000.0,5,12.81,0.13,13.0,690,0,0
28.0,0,4,37022.0,3,3,6000.0,2,17.13,0.16,6.0,652,0,1
27.0,0,0,67324.0,1,0,10000.0,4,7.9,0.15,6.0,614,1,0
29.0,0,4,141463.0,7,3,21000.0,4,10.65,0.15,9.0,594,1,0
28.0,0,4,64572.0,6,3,3000.0,3,11.01,0.05,9.0,640,0,1
24.0,0,1,87477.0,0,0,14000.0,1,14.65,0.16,4.0,593,0,1
22.0,1,3,78821.0,1,3,12000.0,1,8.94,0.15,4.0,642,0,0
35.0,0,1,69289.0,16,3,6178.0,1,11.04,0.09,12.0,728,0,1
25.0,0,0,78954.0,0,0,12000.0,5,12.22,0.15,4.0,524,0,0
23.0,0,0,41730.0,0,3,10000.0,2,10.55,0.24,4.0,587,0,1
26.0,0,0,37135.0,2,3,10000.0,0,6.99,0.27,4.0,634,0,1
25.0,0,1,87623.0,2,0,14000.0,1,14.71,0.16,5.0,669,0,1
22.0,1,3,46211.0,0,0,8000.0,3,9.99,0.17,3.0,586,1,0
23.0,0,1,29844.0,1,3,5250.0,1,7.66,0.18,3.0,703,0,1
25.0,1,3,77142.0,3,3,20000.0,3,12.18,0.26,5.0,627,0,1
22.0,0,3,66016.0,0,0,16000.0,2,7.51,0.24,2.0,665,0,1
26.0,1,4,126524.0,0,0,15000.0,3,15.33,0.12,3.0,631,0,1
21.0,1,0,55210.0,0,0,6250.0,0,5.42,0.11,3.0,558,1,0
29.0,0,1,51433.0,8,3,3000.0,3,12.69,0.06,5.0,674,0,0
33.0,0,3,44208.0,11,3,12283.0,5,7.7,0.28,9.0,654,0,1
34.0,0,0,145393.0,16,0,20000.0,1,10.37,0.14,10.0,702,1,0
37.0,0,3,124342.0,15,3,10000.0,1,15.62,0.08,12.0,563,0,1
22.0,0,4,80627.0,0,3,10000.0,5,14.11,0.12,2.0,578,0,1
21.0,1,0,22655.0,0,3,5000.0,1,12.2,0.22,3.0,619,0,1
28.0,0,1,82418.0,9,0,15000.0,4,11.01,0.18,8.0,644,0,0
26.0,0,0,25020.0,7,3,8000.0,3,12.41,0.32,6.0,702,0,1
31.0,1,0,54730.0,3,3,14000.0,3,7.91,0.26,5.0,671,0,1
27.0,0,3,68561.0,3,0,12000.0,3,15.95,0.18,7.0,595,0,1
26.0,1,4,117484.0,4,3,16000.0,5,12.8,0.14,3.0,632,1,0
25.0,0,3,73031.0,1,0,5000.0,5,8.89,0.07,3.0,659,0,0
25.0,0,0,154516.0,5,0,10000.0,2,11.58,0.06,2.0,706,0,1
33.0,0,4,108844.0,11,3,18000.0,4,11.58,0.17,10.0,637,0,1
25.0,0,3,43837.0,2,0,13750.0,0,13.22,0.31,4.0,622,0,1
33.0,0,0,18183.0,11,3,2467.0,5,9.98,0.14,5.0,595,0,1
22.0,1,3,99292.0,0,3,1600.0,1,11.89,0.02,2.0,659,0,0
24.0,1,0,39858.0,2,3,1547.0,3,11.8,0.04,3.0,626,0,1
23.0,0,3,87341.0,0,3,10800.0,1,7.88,0.12,2.0,634,1,0
28.0,1,0,48346.0,5,0,8000.0,3,11.74,0.17,6.0,562,1,0
21.0,0,1,50074.0,0,3,12000.0,3,15.21,0.24,2.0,668,0,1
33.0,1,2,53859.0,9,3,2725.0,2,12.18,0.05,7.0,552,0,1
25.0,1,3,59504.0,2,0,7000.0,1,11.01,0.12,4.0,581,0,1
23.0,0,0,89555.0,3,3,6000.0,1,5.79,0.07,3.0,614,1,0
21.0,1,3,58583.0,0,3,2800.0,4,8.9,0.05,2.0,668,0,1
26.0,1,1,61868.0,3,0,8000.0,5,10.34,0.13,6.0,632,1,0
26.0,1,4,43121.0,3,3,12166.0,1,12.14,0.28,6.0,610,0,1
22.0,0,3,51403.0,0,3,6600.0,4,16.89,0.13,3.0,632,0,1
27.0,1,1,62749.0,3,2,15000.0,1,8.13,0.24,4.0,667,0,0
22.0,1,1,64554.0,0,0,1000.0,0,15.27,0.02,4.0,626,1,0
22.0,0,1,110186.0,2,2,15000.0,1,7.88,0.14,3.0,550,1,0
29.0,0,1,121098.0,4,0,12025.0,2,13.49,0.1,9.0,692,0,0
31.0,0,3,74421.0,5,3,6000.0,1,10.59,0.08,8.0,645,1,0
25.0,1,1,29628.0,5,3,1325.0,1,13.49,0.04,2.0,700,0,1
29.0,1,1,54031.0,4,0,9264.0,0,8.36,0.17,6.0,655,1,0
30.0,1,3,48901.0,7,3,3000.0,3,7.14,0.06,5.0,540,1,0
26.0,1,4,44486.0,4,3,7000.0,1,13.4,0.16,4.0,698,1,0
23.0,0,0,54781.0,1,0,5000.0,3,10.74,0.09,2.0,647,0,1
29.0,1,3,50875.0,5,3,5000.0,1,11.44,0.1,5.0,668,0,1
22.0,1,0,120987.0,0,0,12000.0,1,11.11,0.1,4.0,637,1,0
22.0,0,3,88756.0,0,3,9600.0,4,8.94,0.11,3.0,662,0,1
23.0,0,3,28561.0,2,3,8284.0,2,12.71,0.29,2.0,677,0,1
32.0,1,0,18468.0,13,3,3000.0,4,13.98,0.16,8.0,594,0,1
29.0,0,4,60813.0,5,0,3575.0,4,11.49,0.06,7.0,563,1,0
24.0,0,1,123296.0,0,3,18000.0,1,12.53,0.15,3.0,555,1,0
29.0,1,3,38124.0,4,3,3000.0,3,9.05,0.08,6.0,604,0,1
30.0,0,0,63257.0,9,0,14675.0,2,9.63,0.23,7.0,660,1,0
33.0,1,0,72783.0,7,3,9000.0,2,8.49,0.12,6.0,661,1,0
23.0,0,1,40675.0,3,3,5000.0,4,11.01,0.12,4.0,672,0,0
33.0,0,1,76734.0,11,2,12800.0,1,7.88,0.17,10.0,676,1,0
25.0,0,1,92419.0,4,0,3000.0,0,11.01,0.03,4.0,655,1,0
29.0,0,1,72803.0,5,0,14109.0,2,13.17,0.19,5.0,663,1,0
30.0,0,3,81701.0,7,3,9250.0,5,11.01,0.11,7.0,672,1,0
37.0,0,3,36820.0,15,3,10000.0,4,9.25,0.27,13.0,633,0,1
23.0,1,3,19598.0,0,3,5500.0,4,11.05,0.28,3.0,629,0,1
26.0,1,1,17905.0,5,3,4750.0,0,10.25,0.27,2.0,637,0,1
22.0,1,4,36267.0,1,1,7500.0,0,10.08,0.21,4.0,611,0,1
23.0,1,3,71688.0,0,3,20000.0,0,10.83,0.28,2.0,584,0,1
29.0,0,4,51589.0,5,3,5000.0,2,14.96,0.1,9.0,719,0,1
31.0,1,1,117143.0,8,0,12000.0,5,8.48,0.1,7.0,587,1,0
25.0,1,3,39810.0,0,3,5000.0,5,14.27,0.13,4.0,622,0,1
23.0,0,3,28473.0,2,3,5000.0,1,11.11,0.18,3.0,564,1,0
33.0,1,0,106827.0,11,0,15000.0,0,15.88,0.14,8.0,521,0,1
30.0,0,1,39140.0,7,3,12250.0,3,13.85,0.31,5.0,604,0,1
24.0,1,0,62597.0,0,3,10000.0,0,10.75,0.16,3.0,604,1,0
22.0,1,4,37233.0,0,3,6000.0,0,19.39,0.16,4.0,636,0,1
30.0,1,4,58530.0,5,3,3600.0,5,9.92,0.06,5.0,610,1,0
23.0,0,4,39443.0,4,0,2000.0,1,5.99,0.05,2.0,656,0,0
31.0,0,0,166489.0,10,0,20686.0,2,17.91,0.12,8.0,699,0,1
23.0,0,1,68720.0,1,3,15000.0,3,11.48,0.22,4.0,709,0,1
22.0,1,4,35663.0,0,3,9000.0,3,11.01,0.25,2.0,579,0,1
33.0,1,0,94439.0,9,0,20000.0,2,14.64,0.21,11.0,599,0,1
26.0,0,0,78013.0,3,3,10000.0,5,16.4,0.13,3.0,606,0,1
23.0,0,1,111482.0,0,3,6216.0,1,10.52,0.06,3.0,700,0,0
26.0,0,4,55517.0,1,3,6500.0,3,10.99,0.12,4.0,661,1,0
29.0,1,1,36809.0,6,3,10200.0,5,17.99,0.28,10.0,608,0,1
35.0,1,4,61032.0,16,3,7200.0,5,11.99,0.12,9.0,693,0,0
27.0,1,1,102829.0,3,3,14400.0,1,8.49,0.14,7.0,565,1,0
22.0,0,3,70698.0,0,3,10000.0,1,11.08,0.14,4.0,565,1,0
22.0,1,3,33975.0,1,3,4250.0,5,10.99,0.13,2.0,682,1,0
28.0,1,0,46065.0,5,3,12293.0,1,15.46,0.27,5.0,645,0,1
23.0,1,0,43888.0,2,3,12250.0,3,10.74,0.28,3.0,650,0,1
34.0,1,1,75603.0,15,3,7393.0,3,15.03,0.1,9.0,681,0,1
21.0,0,0,71339.0,0,0,5000.0,1,9.99,0.07,3.0,559,0,1
22.0,1,0,35917.0,0,3,9000.0,3,11.0,0.25,2.0,686,0,1
24.0,0,3,56777.0,2,0,16000.0,2,12.53,0.28,3.0,596,1,0
23.0,1,3,39687.0,0,3,10000.0,3,13.79,0.25,3.0,561,0,1
29.0,1,0,138420.0,6,0,20000.0,0,13.32,0.14,8.0,614,0,1
26.0,1,3,106657.0,4,3,12000.0,4,12.42,0.11,2.0,525,1,0
39.0,1,3,37120.0,16,0,7200.0,3,14.96,0.19,11.0,682,0,1
23.0,0,1,29733.0,0,2,8000.0,1,15.62,0.27,2.0,639,0,0
29.0,1,1,22367.0,10,3,6400.0,5,10.37,0.29,5.0,685,0,1
30.0,1,1,51370.0,9,3,11000.0,1,12.53,0.21,9.0,637,1,0
38.0,1,3,61108.0,15,3,4000.0,5,7.88,0.07,12.0,608,1,0
25.0,0,3,32376.0,3,3,8427.0,1,14.08,0.26,4.0,657,0,1
29.0,0,3,85978.0,6,3,12000.0,3,11.01,0.14,5.0,647,0,0
24.0,1,0,67048.0,2,0,1800.0,3,7.49,0.03,3.0,589,1,0
34.0,0,1,37264.0,10,3,3600.0,2,6.92,0.1,6.0,699,0,1
23.0,1,1,91026.0,2,0,17000.0,5,11.12,0.19,2.0,678,0,0
26.0,1,2,146163.0,4,3,2500.0,1,7.66,0.02,4.0,660,0,0
29.0,1,0,98367.0,7,0,12000.0,0,11.01,0.12,9.0,668,0,1
25.0,0,1,73026.0,3,2,16000.0,4,13.57,0.22,4.0,593,0,0
26.0,0,0,37153.0,3,3,8000.0,1,9.91,0.22,2.0,616,0,1
30.0,0,0,47994.0,8,3,3000.0,4,14.53,0.06,10.0,679,0,1
22.0,1,1,42029.0,0,3,7500.0,3,12.53,0.18,4.0,630,0,1
24.0,1,0,93267.0,0,3,3631.0,0,7.9,0.04,2.0,611,1,0
31.0,0,1,36752.0,8,0,9450.0,4,8.49,0.26,8.0,589,0,0
28.0,1,1,72913.0,10,3,12000.0,4,6.17,0.16,6.0,575,1,0
24.0,0,3,66038.0,2,3,4500.0,4,7.14,0.07,4.0,592,1,0
33.0,1,1,26898.0,12,3,6500.0,1,11.01,0.24,10.0,642,0,0
21.0,1,3,40827.0,1,3,10000.0,0,11.01,0.24,4.0,539,0,1
23.0,1,1,127172.0,2,0,19000.0,5,11.99,0.15,3.0,677,0,0
27.0,1,3,156785.0,3,0,17858.0,3,8.2,0.11,4.0,607,0,0
23.0,1,4,130735.0,2,0,18000.0,2,11.26,0.14,2.0,612,0,1
27.0,1,1,58376.0,3,3,2800.0,5,7.49,0.05,10.0,671,1,0
25.0,1,4,73083.0,2,0,3400.0,1,11.01,0.05,3.0,713,0,0
22.0,0,1,24665.0,0,3,6250.0,1,11.01,0.25,3.0,613,0,1
24.0,1,3,89703.0,3,0,8000.0,0,15.21,0.09,3.0,631,0,1
22.0,1,1,49401.0,0,3,14000.0,1,11.01,0.28,4.0,571,0,1
24.0,0,1,41981.0,4,3,5000.0,5,12.92,0.12,4.0,675,0,1
22.0,1,1,36673.0,0,3,6400.0,4,15.99,0.17,4.0,692,0,1
23.0,1,3,72893.0,0,3,20000.0,1,8.25,0.27,4.0,651,0,1
29.0,0,3,71501.0,6,0,10000.0,5,7.49,0.14,7.0,653,0,0
26.0,0,1,53914.0,2,0,11500.0,4,9.63,0.21,3.0,686,0,1
22.0,0,1,20396.0,0,3,4000.0,0,13.35,0.2,2.0,656,0,1
25.0,0,3,120722.0,7,3,21000.0,2,16.49,0.17,3.0,686,0,1
24.0,0,0,35610.0,0,3,11000.0,1,15.05,0.31,4.0,655,0,1
23.0,1,4,80021.0,0,0,12000.0,5,11.04,0.15,4.0,698,1,0
31.0,0,0,59650.0,5,3,5000.0,0,16.4,0.08,5.0,686,0,1
29.0,1,4,156929.0,8,0,18000.0,0,13.22,0.11,8.0,733,0,0
23.0,1,0,108267.0,1,0,18000.0,1,7.9,0.17,4.0,668,1,0
24.0,0,0,84880.0,5,3,8000.0,0,11.71,0.09,3.0,619,1,0
22.0,1,3,152254.0,0,0,3600.0,1,15.99,0.02,3.0,567,1,0
36.0,1,0,84950.0,12,0,14000.0,5,13.81,0.16,11.0,725,0,0
23.0,1,4,44071.0,0,3,6500.0,3,17.49,0.15,4.0,659,0,1
24.0,0,0,45479.0,6,3,5500.0,5,15.05,0.12,4.0,696,0,1
25.0,0,3,163071.0,2,3,8000.0,5,11.01,0.05,3.0,599,1,0
22.0,0,3,87469.0,0,3,1000.0,1,7.88,0.01,3.0,633,1,0
24.0,0,1,45404.0,5,0,10000.0,2,11.01,0.22,2.0,668,0,1
22.0,1,0,28467.0,0,0,3000.0,1,8.94,0.11,4.0,647,1,0
37.0,0,0,72907.0,14,3,7000.0,3,6.58,0.1,12.0,686,0,0
29.0,1,1,21204.0,8,3,2200.0,2,9.32,0.1,5.0,613,0,1
31.0,1,4,40262.0,5,0,7500.0,5,13.48,0.19,5.0,724,1,0
27.0,0,0,118550.0,4,3,11750.0,1,13.47,0.1,6.0,645,1,0
27.0,1,3,35722.0,4,3,1800.0,0,13.23,0.05,5.0,558,0,1
30.0,0,1,53485.0,7,0,6000.0,4,12.21,0.11,7.0,641,0,1
26.0,1,0,31122.0,1,3,10000.0,4,11.01,0.32,4.0,647,0,1
29.0,1,1,25418.0,10,3,2000.0,2,7.9,0.08,9.0,669,0,1
23.0,1,4,51433.0,4,3,6000.0,0,14.42,0.12,4.0,633,0,1
23.0,1,0,26582.0,0,3,6000.0,1,15.27,0.23,2.0,650,1,0
32.0,1,4,68159.0,11,3,9000.0,3,15.05,0.13,6.0,675,0,1
27.0,1,3,52467.0,0,3,7500.0,3,11.91,0.14,7.0,603,0,1
22.0,1,0,23032.0,0,3,5400.0,0,15.23,0.23,4.0,642,0,1
29.0,1,4,40558.0,8,3,7650.0,2,19.29,0.19,6.0,589,0,1
30.0,1,0,75455.0,9,3,12800.0,5,10.93,0.17,7.0,709,1,0
22.0,1,3,61105.0,3,3,10000.0,1,10.99,0.16,2.0,585,0,0
22.0,1,4,26299.0,0,3,8000.0,1,16.77,0.3,2.0,670,0,1
30.0,1,1,116131.0,8,3,4000.0,5,10.75,0.03,5.0,684,1,0
30.0,0,4,99330.0,7,0,10000.0,5,7.29,0.1,5.0,614,1,0
24.0,1,0,24149.0,0,3,5000.0,0,11.01,0.21,3.0,683,0,1
22.0,0,3,37021.0,3,3,12000.0,3,9.32,0.32,3.0,583,0,1
26.0,0,4,72557.0,3,0,12000.0,0,6.62,0.17,4.0,662,1,0
24.0,1,1,39332.0,1,3,1958.0,3,9.15,0.05,2.0,636,1,0
30.0,1,3,130695.0,8,0,5000.0,2,10.99,0.04,5.0,621,0,0
27.0,1,2,29134.0,3,3,4000.0,3,9.23,0.14,5.0,696,0,0
27.0,0,0,78944.0,2,0,6500.0,5,11.01,0.08,6.0,641,1,0
23.0,0,0,79122.0,0,3,5000.0,1,13.47,0.06,2.0,636,1,0
30.0,1,4,78181.0,8,3,16000.0,0,15.57,0.2,5.0,586,0,1
32.0,0,0,90805.0,4,0,12000.0,1,8.92,0.13,10.0,568,1,0
28.0,1,1,135420.0,5,3,6000.0,3,12.69,0.04,8.0,647,1,0
30.0,0,3,73772.0,7,0,3000.0,1,7.12,0.04,6.0,668,1,0
24.0,0,1,54902.0,4,3,9600.0,0,15.31,0.17,3.0,618,0,1
28.0,0,3,60960.0,4,3,6400.0,5,9.33,0.1,7.0,627,1,0
28.0,1,1,34005.0,7,3,2091.0,0,14.33,0.06,7.0,642,0,1
23.0,1,4,97966.0,0,0,16000.0,0,11.99,0.16,3.0,669,0,1
29.0,1,1,90995.0,6,0,9000.0,4,11.01,0.1,6.0,666,1,0
22.0,1,0,37448.0,0,3,10000.0,5,12.8,0.27,2.0,599,0,1
33.0,1,1,53590.0,12,3,6000.0,0,14.96,0.11,8.0,706,0,1
25.0,0,0,92814.0,2,0,14747.0,1,13.95,0.16,2.0,639,0,1
29.0,0,0,58478.0,2,0,10000.0,1,7.86,0.17,5.0,540,1,0
25.0,0,3,63376.0,4,0,7000.0,5,11.01,0.11,3.0,670,0,0
23.0,0,0,130687.0,2,3,10000.0,0,11.01,0.08,3.0,675,0,1
28.0,1,4,41709.0,8,3,11422.0,0,8.64,0.27,5.0,676,0,1
36.0,1,0,16934.0,12,3,2400.0,1,17.49,0.14,11.0,674,0,1
21.0,1,3,35775.0,0,3,7000.0,3,12.61,0.2,2.0,583,0,1
23.0,1,4,18512.0,1,2,4000.0,2,16.7,0.22,2.0,566,0,1
23.0,1,3,58589.0,0,3,4574.0,4,10.57,0.08,3.0,543,0,1
22.0,1,0,107919.0,0,0,16000.0,4,13.22,0.15,4.0,562,1,0
26.0,0,1,24681.0,3,3,4725.0,3,11.22,0.19,3.0,664,0,1
30.0,0,1,27991.0,10,2,5000.0,3,7.51,0.18,10.0,613,1,0
26.0,1,0,65823.0,6,0,6000.0,2,13.98,0.09,3.0,528,0,1
38.0,1,3,97397.0,16,3,2500.0,4,10.99,0.03,13.0,681,0,0
31.0,0,4,78532.0,8,3,6000.0,5,6.99,0.08,10.0,703,0,0
22.0,1,3,41874.0,0,3,3800.0,3,18.25,0.09,4.0,661,0,1
28.0,1,3,55025.0,5,3,4800.0,4,6.76,0.09,4.0,609,0,0
26.0,0,4,33643.0,0,0,3000.0,0,5.79,0.09,3.0,564,1,0
35.0,0,4,18137.0,9,3,3000.0,2,11.01,0.17,7.0,700,0,1
25.0,1,3,109093.0,0,3,10000.0,0,12.42,0.09,2.0,549,1,0
27.0,1,4,38652.0,4,3,10000.0,1,13.99,0.26,10.0,668,0,1
22.0,1,3,18328.0,2,3,2100.0,2,14.83,0.11,3.0,591,0,1
28.0,0,3,104397.0,1,0,16000.0,1,14.09,0.15,6.0,567,1,0
23.0,1,1,133352.0,1,0,20000.0,5,11.14,0.15,3.0,591,1,0
31.0,0,1,43161.0,11,3,11200.0,0,13.23,0.26,7.0,630,0,1
31.0,1,0,99391.0,7,0,10000.0,1,7.29,0.1,5.0,629,1,0
22.0,1,3,72173.0,0,0,19750.0,0,14.11,0.27,3.0,657,0,1
28.0,1,0,62126.0,5,0,2100.0,4,12.29,0.03,8.0,689,0,1
27.0,1,1,88063.0,7,0,17005.0,3,7.91,0.19,6.0,553,1,0
28.0,1,4,65930.0,7,0,12000.0,4,15.51,0.18,7.0,663,0,1
31.0,1,3,68434.0,10,3,7500.0,5,11.48,0.11,6.0,550,1,0
26.0,1,1,74170.0,3,0,12000.0,4,10.99,0.16,3.0,628,1,0
31.0,1,0,103157.0,11,3,16000.0,5,11.34,0.16,6.0,635,0,0
25.0,0,0,61055.0,0,2,9175.0,4,19.42,0.15,4.0,615,0,0
22.0,0,3,41692.0,0,3,6500.0,5,13.22,0.16,4.0,593,0,1
23.0,1,1,44396.0,0,3,6914.0,0,13.79,0.16,3.0,648,0,1
23.0,0,4,90938.0,1,3,18000.0,1,12.73,0.2,4.0,616,1,0
25.0,0,0,35754.0,1,3,2500.0,3,12.84,0.07,4.0,653,0,1
22.0,1,4,18155.0,1,3,3250.0,4,16.29,0.18,4.0,603,0,1
27.0,1,4,56206.0,5,3,10000.0,5,11.01,0.18,5.0,596,0,0
27.0,0,3,109180.0,6,0,8000.0,1,8.13,0.07,5.0,678,1,0
31.0,0,4,91065.0,10,3,11100.0,2,6.03,0.12,5.0,610,1,0
23.0,1,0,43889.0,5,0,6725.0,2,11.49,0.15,2.0,670,0,1
21.0,1,1,73216.0,0,0,6000.0,5,10.62,0.08,4.0,633,1,0
27.0,1,0,124214.0,4,3,18000.0,3,13.99,0.14,7.0,626,0,1
30.0,1,3,65692.0,7,0,5000.0,0,12.61,0.08,9.0,590,0,1
26.0,1,0,63389.0,4,0,3000.0,4,9.63,0.05,3.0,637,1,0
30.0,0,3,60808.0,7,0,5000.0,5,7.88,0.08,5.0,679,0,0
24.0,0,3,39552.0,5,3,9250.0,4,14.66,0.23,5.0,640,0,1
31.0,0,4,91283.0,6,0,8000.0,5,18.21,0.09,7.0,580,0,0
28.0,0,4,70629.0,5,3,13716.0,3,12.88,0.19,9.0,714,0,1
26.0,0,2,82564.0,3,0,10000.0,0,5.79,0.12,2.0,718,0,0
26.0,1,3,58626.0,0,3,4500.0,4,8.84,0.08,5.0,566,1,0
22.0,1,0,58463.0,2,3,17750.0,0,13.49,0.3,4.0,631,0,1
28.0,0,4,39678.0,2,3,8575.0,0,17.24,0.22,7.0,644,0,1
28.0,1,0,32281.0,6,3,4051.0,0,11.52,0.13,6.0,664,0,1
26.0,1,0,122142.0,1,0,16493.0,0,9.77,0.14,3.0,567,0,0
29.0,0,0,82856.0,8,0,2000.0,5,7.43,0.02,7.0,627,1,0
25.0,0,4,37969.0,4,3,9600.0,0,16.77,0.25,3.0,674,0,1
